순번,언어,발행처,BRM,자료명
1,영어,Centre for International Governance Innovation,"과학기술 / 과학기술연구,일반공공행정 / 일반행정","AI, Innovation and the Public Good: A New Policy Playbook"
2,영어,Centre for International Governance Innovation,"과학기술 / 과학기술연구,통일·외교 / 외교",Advancing Multi-stakeholderism for Global Governance of the Internet and AI
3,영어,Centre for International Governance Innovation,"국방 / 병무행정,통일·외교 / 외교",Geopolitical Ambitions and Rule Contestations in Space Governance
4,영어,Centre for International Governance Innovation,"일반공공행정 / 재정·금융,재정·세제·금융 / 금융",Policy Pathways for Integrating Fast Payment Systems with Digital Currencies
5,영어,Centre for International Governance Innovation,"과학기술 / 과학기술연구,국방 / 병무행정",Artificial Intelligence and National Defence: A Strategic Foresight Analysis
6,영어,Centre for International Governance Innovation,"국방 / 병무행정,통일·외교 / 외교",Canada at Economic War: The 360-Degree Threat
7,영어,Centre for International Governance Innovation,"일반공공행정 / 재정·금융,재정·세제·금융 / 금융",A New Age of Finance
8,영어,Centre for International Governance Innovation,"과학기술 / 과학기술연구,일반공공행정 / 국민권익·인권","Generative AI, Democracy and Human Rights"
9,영어,Centre for International Governance Innovation,"과학기술 / 과학기술연구,국방 / 병무행정",The National Security and Intelligence Advisor’s Leadership Challenge
10,영어,Centre for International Governance Innovation,"과학기술 / 과학기술연구,국방 / 병무행정",Responsible AI and Civilian Protection in Armed Conflict
11,영어,Centre for International Governance Innovation,"과학기술 / 과학기술연구,일반공공행정 / 국민권익·인권",Applying International Human Rights Principles for AI Governance
12,영어,Centre for International Governance Innovation,"과학기술 / 과학기술연구,일반공공행정 / 일반행정",Digital Data and Advanced AI for Richer Global Intelligence
13,영어,Centre for International Governance Innovation,"과학기술 / 과학기술연구,산업·통상·중소기업 / 산업진흥·고도화",Waterloo Technology Foresight Event
14,영어,Centre for International Governance Innovation,"과학기술 / 과학기술연구,일반공공행정 / 국정운영",Simple Steps Space Companies Can Take to Increase Transparency and Trust
15,영어,Centre for International Governance Innovation,"과학기술 / 과학기술연구,국방 / 병무행정","Through a Glass, Darkly: Transparency and Military AI Systems"
16,영어,Hoover Institution,"교통및물류 / 도로,통신 / 방송통신",A Comprehensive GIS Database for China’s Surface Transport Network with Implications for Transport and Socioeconomics Research
17,영어,Hoover Institution,"사회복지 / 주택,사회복지 / 고용노동",The New Geography of Labor Markets
18,영어,Hoover Institution,"국방 / 병무행정,재정·세제·금융 / 기획재정","Ferguson’s Law: Debt Service, Military Spending, and the Fiscal Limits of Power"
19,영어,Hoover Institution,"일반공공행정 / 재정·금융,재정·세제·금융 / 금융",The Great Dollar Shortage Debate: A Modern Perspective
20,영어,Hoover Institution,"공공질서및안전 / 법무및검찰,일반공공행정 / 일반행정","Law, Order, and the End of the New Deal Consensus"
21,영어,Hoover Institution,"사회복지 / 고용노동,일반공공행정 / 국가통계",Measuring Work from Home
22,영어,Hoover Institution,"보건 / 보건의료,일반공공행정 / 재정·금융",Can Price Ceilings Increase Prices? Reference Pricing and the Inflation Reduction Act
23,영어,Hoover Institution,"사회복지 / 고용노동,일반공공행정 / 국가통계",Why Firms Lay Off Workers instead of Cutting Wages: Evidence from Matched Survey-Administrative Data
24,영어,American Enterprise Institute,"사회복지 / 고용노동,일반공공행정 / 일반행정",Defensive Hiring and Creative Destruction
25,영어,American Enterprise Institute,"국방 / 병무행정,재정·세제·금융 / 기획재정",Behind NATO’s 2 Percent: Measuring the True Scope of Alliance Defense Investments and the NATO Defense Deficit
26,영어,Istituto Affari Internazionali,"일반공공행정 / 국민권익·인권,일반공공행정 / 법제",The Illusion of Containment: Why Removing Extremist Candidates Will Not Halt the Far-Right in Romania
27,영어,Istituto Affari Internazionali,"일반공공행정 / 국정운영,통일·외교 / 외교",Shadows on American Democracy: Concentration of Power in the Trump Administration
28,영어,Istituto Affari Internazionali,"국방 / 병무행정,통일·외교 / 외교",How to Deter Russia: More (Nuclear) May Be Better?
29,영어,Istituto Affari Internazionali,"공공질서및안전 / 법무및검찰,환경 / 환경일반",Tech vs Environmental Crimes
30,영어,Istituto Affari Internazionali,"국방 / 병무행정,통일·외교 / 외교",NATO-Europe-US Cooperation in the Indo-Pacific: Challenging Times Ahead
31,영어,Istituto Affari Internazionali,"과학기술 / 과학기술연구,농림 / 농업·농촌",Earth Observation and Law Enforcement: Satellite Monitoring Against Crop Burning in Northwestern India
32,영어,Istituto Affari Internazionali,"국방 / 병무행정,통일·외교 / 외교","The New Partnership among Italy, Japan and the UK on the Global Combat Air Programme (GCAP)"
