No,기관코드,수정전 기관명,기관명,국가코드,국가,유형,수정전 기관명(한글명),기관명(한글명),,기관명(약어),수정전 수집url,수집url,비고,BRM대분류,연간 수집 예상 수량,수집제외,기관명(기타1),기관명(기타2),기관명(기타3),2025년 수집 건수,현재사용
1,Z00001,,Norwegian Agency for Development Cooperation,NO,노르웨이,정부기관,,개발협력청,,NORAD,,https://www.norad.no/en/toolspublications/publications/,Home > tools > Publications on Norwegian development aid,"금융, 사회복지, 통상, 중소기업, 교육",17,,,,,1,
2,Z00002,,Fridtjof Nansen Institute,NO,노르웨이,연구기관,,난센 연구소,,FNI,,https://www.fni.no/publications/,home > publications,"환경, 과학기술",35,Commentary articles,,,,13,
3,Z00003,,Norwegian Polar Institute,NO,노르웨이,연구기관,,극지연구소,,NPI,,https://app.cristin.no/search.jsf?type=result&filter=person_institution_idfacet~7466&sort=PUBL_YEAR_DESC,home > archive > publications,환경,9,,,,,,X
4,Z00004,,Norwegian Institute for Air Research,NO,노르웨이,연구기관,,대기연구소,,NILU,,https://www.nilu.com/publications/,home > publications,환경,9,produck,Norsk institutt for luftforskning,,,57,X
5,Z00005,,Peace Research Institute Oslo,NO,노르웨이,연구기관,,오슬로국제평화연구소,,PRIO,,https://www.prio.org/publications,home > menu > publications,"국방, 외교",35,,,,,38,
6,Z00014,,U.S. Government Accountability Office,US,미국,정부기관,,감사원,,GAO,,https://www.gao.gov/reports-testimonies,home > reports & testimonies,금융,35,,,,,21,X
7,Z00015,,U.S. Department of Education,US,미국,정부기관,,교육부,,DOE,,https://nces.ed.gov/pubsearch/,home > menu > publications & products,교육,35,"video, brochue",,,,,
8,Z00016,,Institute of Education Sciences,US,미국,정부기관,,교육부 교육과학연구소,,IES,,https://ies.ed.gov/pubsearch/,home > menu > publications & products search,교육,35,"video, brochue",,,,,
9,Z00017,,U.S. Department of Transportation ,US,미국,정부기관,,교통부,,USDOT,,https://maritime.dot.gov/data-reports/data-statistics/data-statistics,home > data & reports,교통 및 물류,9,,United States Department of Transportation,,,,X
10,Z00018,,Bureau of Transportation Statistics,US,미국,정부기관,,교통부 교통통계청,,BTS,,https://www.bts.gov/archive_publications,home > Statistical product and data > A-Z Index > A-Z index of BTS Publications,교통 및 물류,9,,,,,5,X
11,Z00019,,Federal Transit Administration,US,미국,정부기관,,교통부 연방교통청,,FTA,,https://www.transit.dot.gov/research-innovation/fta-reports-and-publications,home > research & innovation > research & reports > reports and publications,교통 및 물류,9,,,,,,X
12,Z00020,,Federal Railroad Administration,US,미국,정부기관,,교통부 연방철도청,,FRA,,https://railroads.dot.gov/elibrary-search,home > fra elibrary,교통 및 물류,35,,,,,3,
13,Z00021,,National Science Foundation,US,미국,정부기관,,국립과학재단,,NSF,,https://www.nsf.gov/publications/,,과학기술,9,,,,,3,X
14,Z00022,,National Center for Education Statistics,US,미국,정부기관,,국립교육통계센터,,NCES,,https://nces.ed.gov/pubSearch/,home > menu > publications & products,교육,9,"video, brochue",,,,,X
15,Z00023,,National Institute for Occupational Safety and Health,US,미국,정부기관,,국립산업안전보건연구소,,NIOSH ,,https://www.cdc.gov/publications/,home > more > publications,"보건, 교육",9,,,,,6,X
16,Z00024,,National Endowment for the Arts,US,미국,정부기관,,국립예술기금,,NEA ,,https://www.arts.gov/about/publications,home > about > publications,문화체육관광,9,,,,,4,X
17,Z00025,,National Endowment for the Humanities,US,미국,정부기관,,국립인문기금,,NEH ,,https://www.neh.gov/search?keywords=,home > Humanities Magazine > Browse all issues ,"문화체육관광
일반공공행정",9,,,,,,X
18,Z00026,,NOAA National Severe Storms Laboratory ,US,미국,정부기관,,국립해양대기청 국립재해기상연구소 ,,NSSL,,https://nssl.noaa.gov/publications/advanced.php,home > people > publications,환경,9,,,,,,X
19,Z00027,,U.S. Department of State ,US,미국,정부기관,,국무부 ,,DOS,,https://www.state.gov/,home > policy issues,"국방
일반공공행정",35,"article
(PDF 없음)",,,,,
20,Z00028,,U.S. Department of Defense,US,미국,정부기관,,국방부,,DOD,,https://www.defense.gov/News/Publications/,home > news > publications,국방 ,35,,,,,,
21,Z00029,,U.S. Agency for International Development,US,미국,정부기관,,국제개발처,,USAID,,https://www.usaid.gov/reports-and-data,home > reports and data,사회복지,9,,,,,2,X
22,Z00030,,U.S. Department of Homeland Security,US,미국,정부기관,,국토안보부,,DHS,,https://www.dhs.gov/publications,home > news > publications library,"교통 및 물류, 공공질서 및 안전",9,blog,,,,,X
23,Z00031,U.S. Computer Emergency Readiness Team,Cybersecurity and Infrastructure Security Agency,US,미국,정부기관,국토안보부 컴퓨터 긴급대응팀,사이버보안 및 인프라보안국,US-CERT,CISA,https://www.usa.gov/features,https://www.cisa.gov/resources-tools/resources,home > for the media > features,"재정.세재.금융
보건
교육",35,"article
(PDF 없음)",,,,,
24,Z00032,,U.S. Global Change Research Program,US,미국,정부기관,,기후변화연구프로그램,,GCRP,,https://www.globalchange.gov/browse/reports,home > browse > reports library,환경,9,,,,,,X
25,Z00033,,U.S. Department of Labor,US,미국,정부기관,,노동부,,DOL,,https://www.dol.gov/guidance,home > labor department > guidance,사회복지,9,,,,,,X
